RoundNum,HalftimeHome,HalftimeAway,FulltimeHome,FulltimeAway,Winner
8,0,0,0,0,0
8,0,0,0,0,0
19,0,0,0,0,0
23,0,1,0,2,40
17,1,1,1,3,40
8,0,0,0,0,0
8,0,0,0,0,0
19,0,0,0,0,0
23,0,1,0,2,40
17,1,1,1,3,40
8,0,0,0,0,0
8,0,0,0,0,0
19,0,0,0,0,0
23,0,1,0,2,40
17,1,1,1,3,40
8,0,0,0,0,0
8,0,0,0,0,0
19,0,0,0,0,0
23,0,1,0,2,40
17,1,1,1,3,40
8,0,0,0,0,0
8,0,0,0,0,0
19,0,0,0,0,0
23,0,1,0,2,40
17,1,1,1,3,40
8,0,0,0,0,0
8,0,0,0,0,0
19,0,0,0,0,0
23,0,1,0,2,40
17,1,1,1,3,40
8,0,0,0,0,0
8,0,0,0,0,0
19,0,0,0,0,0
23,0,1,0,2,40
17,1,1,1,3,40
8,0,0,0,0,0
8,0,0,0,0,0
19,0,0,0,0,0
23,0,1,0,2,40
17,1,1,1,3,40
8,0,0,0,0,0
8,0,0,0,0,0
19,0,0,0,0,0
23,0,1,0,2,40
17,1,1,1,3,40
8,0,0,0,0,0
8,0,0,0,0,0
19,0,0,0,0,0
23,0,1,0,2,40
17,1,1,1,3,40
8,0,0,0,0,0
8,0,0,0,0,0
19,0,0,0,0,0
23,0,1,0,2,40
17,1,1,1,3,40
8,0,0,0,0,0
8,0,0,0,0,0
19,0,0,0,0,0
23,0,1,0,2,40
17,1,1,1,3,40
8,0,0,0,0,0
8,0,0,0,0,0
19,0,0,0,0,0
23,0,1,0,2,40
17,1,1,1,3,40
8,0,0,0,0,0
8,0,0,0,0,0
19,0,0,0,0,0
23,0,1,0,2,40
17,1,1,1,3,40
8,0,0,0,0,0
8,0,0,0,0,0
19,0,0,0,0,0
23,0,1,0,2,40
17,1,1,1,3,40
8,0,0,0,0,0
8,0,0,0,0,0
19,0,0,0,0,0
23,0,1,0,2,40
17,1,1,1,3,40
8,0,0,0,0,0
8,0,0,0,0,0
19,0,0,0,0,0
23,0,1,0,2,40
17,1,1,1,3,40
8,0,0,0,0,0
8,0,0,0,0,0
19,0,0,0,0,0
23,0,1,0,2,40
17,1,1,1,3,40
8,0,0,0,0,0
8,0,0,0,0,0
19,0,0,0,0,0
23,0,1,0,2,40
17,1,1,1,3,40
8,0,0,0,0,0
8,0,0,0,0,0
19,0,0,0,0,0
23,0,1,0,2,40
17,1,1,1,3,40
8,0,0,0,0,0
8,0,0,0,0,0
